children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweights,hhweights,totY,Y,idh,nbpeople
1.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,168.8602981567383,28.14338302612305,2552.2882690429688,425.3813781738281,32882.0,6.0
1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.9316463470459,11.46582317352295,1008.5655517578126,504.2827758789063,206505.0,2.0
1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,425.2777862548828,141.75926208496094,1029.4319458007812,343.14398193359375,53773.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,87.55719375610352,21.88929843902588,1987.5265299479167,496.8816324869792,92821.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,150.09804725646973,50.03268241882324,1879.3209228515625,626.4403076171875,195741.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,54.20207214355469,13.550518035888672,1641.3436279296875,410.3359069824219,80807.0,4.0
1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,788.0147495269775,262.6715831756592,1323.1692260742188,441.05640869140626,17672.0,3.0
1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1425.9314270019531,356.4828567504883,1483.7015075683594,370.92537689208984,16100.0,4.0
1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,875.5719375610352,175.11438751220703,2158.6968994140625,431.73937988281256,143249.0,5.0
1.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,170.9449920654297,42.73624801635742,1654.25439453125,413.5635986328125,34873.0,4.0
1.0,0.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,266.8409729003906,33.35512161254883,4722.537109375,590.317138671875,145890.0,8.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6160.273980140686,3080.136990070343,1114.869167751736,557.434583875868,2735.0,2.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17101.796219587326,5700.598739862442,1501.3669871610753,500.45566238702514,803.0,3.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7363.143030166626,1840.7857575416565,1821.791828264509,455.44795706612723,2860.0,4.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1662.5443506240845,332.5088701248169,2244.069755817282,448.81395116345635,14845.0,5.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,381.4992084503174,63.58320140838623,2680.9676513671875,446.82794189453125,47922.0,6.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,102.15006160736085,14.592865943908693,3031.8365478515625,433.1195068359375,78234.0,7.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4706.1991539001465,1568.7330513000488,1723.7402268501178,574.5800756167059,5709.0,3.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1834.5316848754883,458.63292121887207,2151.1331982421875,537.7832995605469,6357.0,4.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,776.5489315986633,155.30978631973267,2180.892837524414,436.17856750488284,9489.0,5.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,43.77859783172608,7.296432971954347,4314.346435546875,719.0577392578125,122217.0,6.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,138.63222503662112,19.80460357666016,2710.5115966796875,387.2159423828125,211344.0,7.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,208.4695053100586,52.11737632751465,2958.6658935546875,739.6664733886719,146169.0,4.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,333.5512065887451,66.71024131774902,2278.3928298950195,455.6785659790039,573.0,5.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,62.54085159301758,10.42347526550293,3249.44091796875,541.573486328125,82119.0,6.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,284.56087589263916,94.85362529754639,1340.0321960449219,446.6773986816406,159314.0,3.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,721.3044929504395,180.32612323760986,1994.9562174479167,498.7390543619792,101188.0,4.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,41.693902015686035,8.338780403137207,3124.3060302734375,624.8612060546875,104307.0,5.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,37.524513244628906,9.381128311157227,1633.755615234375,408.43890380859375,205131.0,4.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,75.04902648925781,18.762256622314453,1348.121337890625,337.03033447265625,31433.0,4.0
1.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,50.03268241882324,8.338780403137207,5630.1800537109375,938.3633422851562,190793.0,6.0
1.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,659.8060011863708,219.93533372879028,1640.6095537458148,546.869851248605,19533.0,3.0
1.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,120.91231536865234,30.228078842163086,2636.2132975260415,659.0533243815104,10887.0,4.0
