index,country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew,iso3,avg_prod_k
53,"Congo, Dem. Rep.",poor,0.2,214.2214059,0.008708673,0.121443991,918.8043972000003,0.057102324,0.7,0.4,COD,0.23706
54,"Congo, Rep.",nonpoor,0.8,6701.961351,0.08744304,1.171312809,18003.2259,0.09752642,0.3,0.0,COG,0.37275
55,"Congo, Rep.",poor,0.2,1593.30451,0.01770981,0.314748764,4179.95766,0.11890125,0.634368096,0.0,COG,0.37275
56,Costa Rica,nonpoor,0.8,16081.63615,0.2792255,1.1345266,33848.56627,0.010930173,0.321042167,1.0,CRI,0.4819
57,Costa Rica,poor,0.2,2827.171445,0.07918306,0.461893598,3958.646812,0.013325735,0.7,1.0,CRI,0.4819
58,Croatia,nonpoor,0.8,23053.82911,0.1524273,1.05358935,102231.8057,0.024619744,0.441201281,0.8,HRV,0.23051999999999997
59,Croatia,poor,0.2,8029.619357,0.07799293,0.785642598,25932.49018,0.030015645,0.7,0.8,HRV,0.23051999999999997
60,Czech Republic,nonpoor,0.8,31875.56493,0.4178777,1.143883065,131933.6256,0.010421751,0.4135,1.0,CZE,0.2398
61,Czech Republic,poor,0.2,13120.06268,0.2615189,0.424467742,58680.93187000001,0.012705882,0.7,1.0,CZE,0.2398
62,Denmark,nonpoor,0.8,48255.07373,0.6474435000000001,1.048342222,219740.7333,0.000947913,0.25,0.8,DNK,0.23010999999999998
63,Denmark,poor,0.2,19393.36737,0.4418965999999999,0.806631111,44149.03772,0.001155667,0.3,0.8,DNK,0.23010999999999998
64,Djibouti,nonpoor,0.8,3409.403383,0.04367659,1.02950915,13258.02851,0.002620196,0.291938372,0.6,DJI,0.2606
65,Djibouti,poor,0.2,875.1176928,0.01797438,0.8819633990000001,2657.863101000001,0.003194464,0.622486651,0.6,DJI,0.2606
66,Dominican Republic,nonpoor,0.8,14005.646880000002,0.2295297,1.15102186,37292.42431,0.016165633000000002,0.3,0.8,DOM,0.37715
67,Dominican Republic,poor,0.2,2954.7653800000007,0.05700692,0.39591256,7206.520415000001,0.008817618000000001,0.348997369,0.8,DOM,0.37715
68,Ecuador,nonpoor,0.8,12609.26137,0.17696589999999998,1.165752058,49243.76581,0.016078889,0.6764212740000001,0.6,ECU,0.25747
69,Ecuador,poor,0.2,2266.241334,0.09387966,0.33699177,7718.983364,0.019602893,0.7,0.6,ECU,0.25747
70,"Egypt, Arab Rep.",nonpoor,0.8,12175.80127,0.01016893,1.151473006,24658.88511,0.008567422,0.55,0.6,EGY,0.49278
71,"Egypt, Arab Rep.",poor,0.2,4964.238534,0.002091735,0.394107978,10272.33771,0.015832193999999997,0.7,0.6,EGY,0.49278
72,El Salvador,nonpoor,0.8,8858.403681,0.1816167,1.176135889,66019.18198,0.006430811999999999,0.44,0.6,SLV,0.13424
73,El Salvador,poor,0.2,2141.798557,0.04984934,0.295456445,15828.01385,0.007840251,0.7,0.6,SLV,0.13424
74,Estonia,nonpoor,0.8,29303.84012,0.3582999,1.121311978,106625.0398,0.067511645,0.125977592,0.0,EST,0.28006
75,Estonia,poor,0.2,9053.475542,0.18928570000000006,0.5147520870000001,24362.72547,0.082308148,0.434214596,0.0,EST,0.28006
76,France,nonpoor,0.8,42887.71209,0.5575401999999999,1.124276088,194870.3202,0.015136776,0.2395,1.0,FRA,0.22345
77,France,poor,0.2,14533.16114,0.4022605,0.502895646,53298.72648000001,0.018454298,0.57,1.0,FRA,0.22345
78,Gabon,nonpoor,0.8,21942.115680000006,0.13129620000000006,1.123090545,66951.96772,0.104380751,0.326990514,0.2,GAB,0.32991
79,Gabon,poor,0.2,5463.386356,0.01964613,0.507637818,14787.922819999998,0.21894499,0.7,0.2,GAB,0.32991
80,Georgia,nonpoor,0.8,8205.464994,0.01637902,1.13536396,23798.47651,0.063099648,0.201292325,0.6,GEO,0.36327
81,Georgia,poor,0.2,1829.596924,0.0015679239999999998,0.458544158,194.9774216,0.076929176,0.539077,0.6,GEO,0.36327
82,Germany,nonpoor,0.8,49160.78646,0.5140285,1.085242471,186598.2821,0.010701369,0.240726694,0.8,DEU,0.27302
83,Germany,poor,0.2,17775.28818,0.5698233,0.659030118,38972.19105,0.013046784,0.3,0.8,DEU,0.27302
84,Ghana,nonpoor,0.8,4576.944469,0.2401777,1.132065988,11288.14156,0.023890973,0.69739886,0.8,GHA,0.40794
85,Ghana,poor,0.2,1012.376067,0.04551203,0.4717360470000001,2208.295577,0.03117867,0.7,0.8,GHA,0.40794
86,Greece,nonpoor,0.8,28421.72908,0.2479624,1.18662878,118331.581,0.004656171,0.141815988,1.0,GRC,0.23679
87,Greece,poor,0.2,7838.381723,0.12937169999999998,0.25348488,39889.60474,0.005676663,0.44601326,1.0,GRC,0.23679
88,Guatemala,nonpoor,0.8,8486.513422,0.1347752,1.152828687,13170.52024,0.047676687,0.1,0.4,GTM,0.64756
89,Guatemala,poor,0.2,1366.599686,0.05336335,0.388685251,1849.548812,0.05812596900000001,0.583710645,0.4,GTM,0.64756
90,Guinea,nonpoor,0.8,1401.643849,0.02541692,1.225166522,3973.53094,0.036954532000000005,0.685,0.6,GIN,0.35107
91,Guinea,poor,0.2,457.8652701,0.01277901,0.09933391,1380.06511,0.108810566,0.7,0.6,GIN,0.35107
92,Honduras,nonpoor,0.8,5411.56185,0.118058,1.189005836,14939.1031,0.040765282,0.391375829,0.4,HND,0.36359
93,Honduras,poor,0.2,580.1078726,0.0431121,0.243976656,1373.4057400000004,0.011897163999999998,0.7,0.4,HND,0.36359
