countrycode,wbreg,shareemp,shareag,sharemanu,poorag,poorindus,poorserv,pooremp,poorold,poorunemp,poorchildren,below125,pooradult,skillpag,skillpserv,skillpmanu,gdp,quintile2,quintilepc2,below4,below6,below8,below10,gini,tot_pop,gap,incbott20,inc2040,incbott40,avincome
BRA,LAC,0.672413501712618,0.16447418725905444,0.2210991014367719,2023549.4698911984,242063.3744038921,1067135.5573374527,3332748.401632543,253823.16902886232,4386505.133734093,5878724.083182917,13851800.787578423,7719253.535366636,2.3357273203772952,1.9229133024137646,2.176042680851193,80284400041.72655,7383657056.415491,0.09196876420049221,49304211.92916878,75813090.46542928,94971094.58711149,115450576.87465647,0.5580955603787845,189974595.30429703,0.03295015782737829,53.58738918242282,140.74033639480334,97.16964826171812,422.6059800950164
BTN,SAS,0.6728880456487707,0.6811459431115655,0.062420001019312686,34372.0725312233,958.2472381591797,1367.3781623840332,36697.69793176651,4995.114156246185,12815.318208694458,32907.60592651367,87415.73622322083,49513.01614046097,2.596367245953292,1.405035210652771,1.411933442752328,74360513.50587825,11795048.910390925,0.15861978830281365,480522.0197944641,589912.742026329,618985.8858771324,642257.2645235062,0.4162250274399605,679364.9990181923,0.030083905020002164,32.71640143236227,54.072779708301994,43.39325355042457,109.4559089934614
BWA,SSA,0.5372176834021938,0.2191781972187548,0.1757960537709711,13038.77809715271,6218.594274520874,23864.443161964417,43121.815533638,14667.378051757812,72296.58542585373,98202.95799303055,228288.7370042801,115418.40095949173,1.2239824605607876,1.0536796166055402,2.259267359803911,1125890429.5979254,43454253.228008635,0.03859545483793383,773245.9868693352,995513.6961426735,1167522.9177889824,1319669.2949643135,0.770033125983744,1914786.0778503418,0.06805654317885375,27.80018161897867,85.59732938607702,56.69221265701113,587.9980237071288
CHN,EAP,0.7278335697010023,0.38596022907788613,0.23656270583440153,96033215.0859375,26724761.098388672,26825971.419921875,149583947.60424805,15903632.779785156,45717713.26586914,54646223.978515625,265851517.62841797,195301660.8701172,1.6029427291060736,1.4406046368840286,1.5401389599147077,134358896521.72305,20079299716.26159,0.1494452562210139,945110639.1682129,1190515138.3081055,1211359414.2373047,1307532464.1137695,0.42459890194619687,1334343519.1328125,0.04835786079843914,28.43184889947908,46.79994281763034,37.6178886115504,100.69288350052666
CIV,SSA,0.5803217492444248,0.6057810486308414,0.07433037440522966,1076622.842596054,47283.074454307556,145191.81006240845,1269097.72711277,119034.05196285248,650123.0778460503,2034452.1231803894,4072706.980102062,1919220.8049588203,2.0872535553308333,1.8215017831879408,2.116762919484633,1590162639.3464437,241091223.12517613,0.1516141916302755,14476162.658347607,16366990.058063984,17099782.683978558,17580339.7934227,0.43178748907296516,17946045.838284016,0.07585867625570474,23.446063627740592,43.71005360658541,33.57800072153143,88.60796710739336
CMR,SSA,0.7986396769813859,0.572699996719179,0.11023746893447459,645440.2705078125,27504.955940246582,33726.41563415527,706671.6420822144,56370.16310882568,46324.580894470215,1062500.905380249,1871867.2914657593,752996.2229766846,2.3030539557337493,1.835421319384069,1.751598511109213,2513004001.368871,388583780.0200431,0.15462919271452594,11806197.100976944,15281315.843799591,17081198.589349747,17405049.274261475,0.423269201850194,19097307.425640106,0.012716990788027915,38.72831748954653,62.89641524137843,50.82333607605572,131.58944061375396
CPV,SSA,0.5078948112297097,0.1666817079039187,0.23469706539584834,4699.592764496803,2711.7624859809875,4557.391820251942,11968.747070729733,2490.008519411087,15808.173129677773,24275.59432643652,54542.52304625511,27776.920200407505,1.191163151282479,1.447536523801229,1.519359389285241,64581806.539634645,8962589.532785792,0.13877886068865766,328709.9640593529,389187.14028322697,430201.67810344696,440224.3603348732,0.46474364919023203,483712.99609458447,0.02994332010409797,33.61564109307389,58.98810136678058,46.31106410213991,133.512655357737
CRI,LAC,0.6262944929951373,0.1259054847125142,0.21365532497330877,4265.5202293396,2498.265392303467,8268.886737823486,15032.672359466553,6106.737087249756,15284.264125823975,23144.938758850098,59568.61233139038,30316.936485290527,2.0272966891280193,1.70693631411668,1.7662086679238398,1319860595.2905805,173284830.66772974,0.13129025238425243,1273835.5989723206,2153746.373512268,2711678.250541687,3148088.1496276855,0.4804752106234915,4459626.591152191,0.004010484010858949,66.22345788810283,128.06615018099873,97.12402173381851,295.95764764457124
DOM,LAC,0.5767695097334011,0.1293275574408795,0.21743467834361355,7734.088936264569,5870.937462862208,15028.940043523688,28633.966442650468,16937.45873537009,111509.66297690196,167132.0011695209,324213.08932444314,140143.62941955242,2.114192720727595,1.4312548147215547,1.5227465933226756,2383913706.5912385,307587938.7729318,0.12902645675574873,3541725.0255396017,5444982.12758119,6695830.01344915,7589736.4439814305,0.48272665844101426,9615015.010787973,0.0065680970468641915,54.58842711965877,105.25752414001974,79.93271350285652,247.93655588852494
ECU,LAC,0.6743704401023516,0.2659650701410801,0.1887532664604466,221530.8150691986,41435.15298080444,102120.5697221756,365086.53777217865,86257.53457021713,222272.29306554794,505453.1759200096,1179069.5413279533,587358.8308377266,1.6818593462943625,1.6654979040165745,1.328169125086705,4362525921.074794,452778037.68874645,0.10378804524723505,4540948.400355816,7240488.446879864,8931233.947757244,10157837.320933819,0.5460143552827851,14268396.998270035,0.02891952105079583,47.61372856797684,111.03845326333881,79.33522721689648,305.74744462210623
