country,year,scenar,ssp,ccint,GDP,avincome,incbott10,incbott20,inc2040,incbott40,quintilecum1,quintilecum2,quintilepc1,quintilepc2,below125,below2,below4,below6,below8,below10,gini,tot_pop,gap125,gap2,gap4,gap6,gap8,gap10,childrenag,childrenonag,peopleag,peoplenonag,incsharebott20ag,incsharebott20nonag,poorag,poornonag,incbott20ag,incbott20nonag,avincomeag,avincomenonag,shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
ARG,2030,146,ssp4,1,92661262990.60616,2058.3241098550993,251.57846804253109,365.4525176424285,786.7925869677438,576.1225523050861,575.4577608482873,1017.4702387609706,0.011939865386460656,0.021110945949582512,7541.178393160146,45980.40811512929,209132.74778373257,555780.958997477,1259802.922080689,2873127.378583192,0.49911069140123343,45017819.37400045,6.47466538037121e-05,0.0002123325773465349,0.0017227097763360603,0.0037285241543728227,0.007429138370957867,0.014370557006351162,1265089.119606924,7329665.917393035,5768460.611792118,39249358.76220827,0.032780471898125677,0.03772757006430313,856.03963776138,6685.138755398766,323.19417385553237,387.13185710635304,1773.312059043641,2100.212202828863,0.0753315606635244,0.18856498152497128,0.7705457785640668,0.02760573481146874,0.03350391313146874,0.03913254001146874,2.781391192,1.7689991680000001,3.430678448,0.031609689664000004,0.101801120307,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.051131440088378,0.03763187996951256,0.057956209678015735
ARG,2030,146,ssp5,1,119526394252.58862,2701.0112636016847,334.2637064120264,507.2762284468728,1138.3522953472045,822.8142618970385,852.9326812223574,1407.338770738397,0.017386168291775896,0.028687174557003495,5076.386181247486,21511.357665557363,123670.38532968708,324238.5135892355,615157.4189108873,1108664.9532460766,0.4576247681830423,44252460.49999994,4.848501825558615e-05,0.0001306612157617853,0.0009561445768680557,0.002153394164603211,0.004188036322098414,0.007082632714604088,1138142.5187746412,6638046.354225236,5612755.827251791,38639704.67274818,0.036343936818260106,0.04119982121091431,490.92253562167076,4585.463645625815,505.7228607771633,538.8678117109872,1938.9589790688374,2811.7060382358954,0.0753315606635244,0.18856498152497128,0.7705457785640668,0.02760573481146874,0.03350391313146874,0.03913254001146874,2.781391192,1.7689991680000001,3.430678448,0.031609689664000004,0.101801120307,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.05632476736793435,0.04139768380361386,0.06519901561306396
ARG,2030,147,ssp4,1,50455061281.61628,1120.7797708379585,198.91652703789327,272.1569902714731,512.546053480232,392.3515218758525,408.5505717347867,633.0648848084755,0.015956075558948,0.024724555133600522,9285.895115949192,47584.906634997686,257826.68261968694,983723.2230358697,2451086.806103759,4917151.190337355,0.4488753390350234,45017819.37399967,7.080360084862696e-05,0.00023723523883174326,0.0019184018659178198,0.005443393541526113,0.013203757411215345,0.027723014114315193,949654.8093366947,7645100.22766326,4309749.015281143,40708070.35871868,0.027033194371466628,0.05504277922079163,518.7581851333663,8767.136930815828,261.29358159912715,287.73803615319594,1664.1428233059576,1063.2541165959715,0.06608962281460005,0.2208765383493163,0.6512415506421484,0.040212638111468746,0.004071501851468744,0.009408109451468742,1.063765024,4.287302584,3.263587984,0.004769335416,0.154098270159,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.03136587264469415,0.03713781757085788,0.029007185883543674
ARG,2030,147,ssp5,1,59364189832.58975,1341.4890191832328,236.03153545952537,328.0306042032199,620.9138166182314,474.4722104107257,493.63903016232297,759.6416098258923,0.018942187267851563,0.02914938396391117,7768.475842545656,26970.642616820947,151561.66852065432,562473.0475283398,1461755.452712472,3176057.4313550796,0.43671279047877265,44252460.499999724,5.46653183124136e-05,0.0001709746921138337,0.0011029876350379885,0.003253309293905656,0.00819116909959752,0.01682756696249352,852813.7275680534,6923375.145431896,4186717.875345894,40065742.62465387,0.029154974595756816,0.054791169699175024,304.2755748935293,7464.200267652128,304.97843874247263,347.11275908635497,1805.3273110537082,1293.0196800264177,0.06608962281460005,0.2208765383493163,0.6512415506421484,0.040212638111468746,0.004071501851468744,0.009408109451468742,1.063765024,4.287302584,3.263587984,0.004769335416,0.154098270159,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.02988309536530087,0.040277255206415674,0.03412572533491054
ARG,2030,148,ssp4,1,49824723456.51613,1106.7778081959334,121.05259742408245,175.51334255277084,379.62512771613956,277.5692351344552,286.0684163181427,495.4759494439093,0.009786097175335717,0.016949706827849877,15382.859243859673,84565.74727540028,1725115.9789309027,4249679.323825667,6919317.38688476,9730281.643973509,0.5144989720000278,45017819.37400003,9.350226625727151e-05,0.00039191656684796653,0.007081138682130172,0.026020748213629295,0.050381964000507116,0.0776025265817754,123719.31780429502,8471035.71919565,497969.70886921906,44519849.665130734,0.02416846395624987,0.033443349612632386,174.9064866394911,15207.952757220182,176.2284258727102,184.3032251557207,1154.8274115663614,1106.2403569875032,0.0059899558614729485,0.13259615613710335,0.741531656327098,-0.004880667768531256,-0.0022378796885312545,0.017560183451468744,3.034197608,4.49496116,2.443401696,0.004288128740000001,0.05345502809400001,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.02172398963437505,0.03062402747383075,0.026066839079360804
ARG,2030,148,ssp5,1,62508944074.18941,1412.5529601724502,160.7528920553899,244.1011835935742,544.895075921198,394.49812975738615,404.5822336024521,717.2371656783364,0.013607599504454315,0.024123343265366744,8449.554134360076,42877.33209037592,718383.7491822008,2106120.822242771,3817056.2373237996,5510827.1222577095,0.46791968586895594,44252460.49999979,5.169311927373395e-05,0.000242703428112706,0.0034261524033508714,0.012936566546398496,0.0266707444560704,0.042719735868603476,112657.47423900229,7663531.398760979,490002.4347376712,43762458.06526199,0.023775793254906932,0.036528481670961364,112.77871042891974,8336.775423931156,231.991306913664,256.4993467997584,1363.7664230611936,1413.0992165534628,0.0059899558614729485,0.13259615613710335,0.741531656327098,-0.004880667768531256,-0.0022378796885312545,0.017560183451468744,3.034197608,4.49496116,2.443401696,0.004288128740000001,0.05345502809400001,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.02657819418490104,0.035401695543023415,0.030990865176122373
ARG,2030,149,ssp4,1,34404922771.8593,764.251206528449,104.46379136022283,149.9995187763552,318.03258586609127,234.01605232122319,236.00792614799983,421.8724971706772,0.013188821878272519,0.02357548456672138,27481.77353760168,138818.02632941934,2645365.65611015,5485443.793917664,9256886.304744225,12477527.366017617,0.4494036858984426,45017819.37400033,0.00014285943536544761,0.0007116849812325264,0.012395722578342153,0.03737015635207612,0.06917107320492785,0.10368700132672601,831402.4468950188,7763352.590104973,3768908.016933555,41248911.357066885,0.022057753621511418,0.04398812266040539,438.6599454892063,27043.113592112473,140.706234584127,159.00694710577912,1102.4370194729945,733.3512099058341,0.04794441200416542,0.1771970591182189,0.78794391190809,-0.0052316171885312575,-0.005947449648531257,-0.013661121648531258,1.4911886239999999,3.684015564,3.5760326559999998,0.083971344172,0.061034433629000004,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,-0.005692617283877488,0.018629170518991822,0.0030499013753728654
ARG,2030,149,ssp5,1,41291613573.905464,933.0919254513639,130.70718133615713,194.8514965823665,444.9985401023905,319.92501834237856,324.05328873161966,586.7735112819717,0.01779612677859251,0.03222400808819484,14593.268513186322,73058.44439824423,1270483.7615876205,3372392.388121067,5742074.577264841,7890053.91659431,0.40804127051740613,44252460.50000062,7.113871251153843e-05,0.00039707827498953075,0.006288916526955733,0.021752737179555823,0.04182917149312355,0.0644386044425072,749826.972505224,7026361.9004946165,3673950.3778254855,40578510.122175224,0.023060035136556474,0.04720633801480211,261.0982323697939,14332.170280816526,190.80863151712444,206.85725968069292,1194.4078268937944,909.4325635885045,0.04794441200416542,0.1771970591182189,0.78794391190809,-0.0052316171885312575,-0.005947449648531257,-0.013661121648531258,1.4911886239999999,3.684015564,3.5760326559999998,0.083971344172,0.061034433629000004,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,-0.004751204156526634,0.02151986685409124,0.010407034498222778
ARG,2030,150,ssp4,1,30045042451.729935,667.4033276050335,131.5619054542424,176.13811877801476,324.0874055838215,250.11276218091817,259.73859822047683,396.0073547479363,0.014514962114847992,0.022130063805489156,14656.639881220832,73930.8361665818,922396.9204202758,4345683.204254195,7685451.520860704,11700586.180608416,0.43290712552106836,45017819.374000594,9.053595785490551e-05,0.00037114531463726944,0.004298304215693338,0.020320480435736123,0.04771955467022551,0.08119615844051031,1215734.6229027174,7379020.414097336,5529202.093157903,39488617.280842945,0.02909453319221243,0.06202190095970474,565.2261980953901,14091.413683125444,171.44126810914148,186.497098352698,1075.290761973342,610.2908680868264,0.09764373967932122,0.17228143979527658,0.5672120697193167,-0.0057172075085312555,-0.014439289008531258,0.02652707503146874,1.1937511,4.318239168,3.1580641,0.026765892553000003,0.17739019690100002,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,-0.007396806852285942,0.016585939453921617,0.038927838782971014
ARG,2030,150,ssp5,1,35667719932.39223,806.0053504232217,158.74034409536156,215.92342871821592,399.64829370552263,307.78586121186925,318.93691573778784,488.4494036347726,0.017515149465258693,0.026824315056439486,10874.900975366292,40208.22402546962,506413.04373543506,1928768.7010892904,4672009.303809198,7812263.946055276,0.4254285305310569,44252460.49999997,6.072280203962904e-05,0.00022843085856418923,0.0019774435885293535,0.010006881973060445,0.02745009690712956,0.050182753893270135,1091058.186306157,6685130.6866937755,5369641.668120436,38882818.831879556,0.03135492579057985,0.06185953353725226,337.04218145909067,10537.858793907202,205.16306061257066,228.57497329750757,1167.5270190077467,756.079911016337,0.09764373967932122,0.17228143979527658,0.5672120697193167,-0.0057172075085312555,-0.014439289008531258,0.02652707503146874,1.1937511,4.318239168,3.1580641,0.026765892553000003,0.17739019690100002,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,-0.007313340854830819,0.0197343075354115,0.04447810879277947
ARG,2030,151,ssp4,1,61963197707.11764,1376.4149078909943,230.08344838159587,315.8516001521442,598.2488471495333,457.0502236508387,461.5292059524595,758.2383076447605,0.021150458513634087,0.034747720539576324,8421.358361747474,44421.34769452482,211932.49209068823,612174.6696980941,1524870.6603582392,3356703.2121598586,0.4526638108925215,45017819.37400025,7.156489284364477e-05,0.0002247103975629054,0.0016833243110543597,0.003948930834103561,0.008638115813964141,0.017864977885982094,1227134.7210304649,7367620.315969492,5596268.847006237,39421550.52699396,0.03552818042794659,0.05014294761707528,676.5616254724616,7744.7967362750105,299.77959943354426,335.6402648030769,1467.1468954553386,1363.5346282306189,0.08578289755695492,0.2970636154198599,0.653973894181161,0.022845032711468746,0.012856529231468742,0.03128312617146875,1.425555176,3.12505758,4.670032944,0.115372748769,0.17398037568100003,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.022873436743722664,0.031170725061939963,0.05771839076272167
ARG,2030,151,ssp5,1,77272640608.89651,1746.177268694392,290.8183186895486,405.33203659762285,820.8853289940974,613.1086827958601,629.2485691094414,1033.1410296316226,0.02876810640010397,0.04723333913785381,7408.153474000179,26552.60723258851,117112.10579847165,327867.90545451484,778032.6948273284,1540254.066433059,0.4284252029300548,44252460.50000054,5.858261888180442e-05,0.0001700575298062083,0.0009650002128790096,0.0021330156341197713,0.004600917651119865,0.008549316235316321,1101648.937695514,6674539.935304476,5435554.273404653,38816906.22659583,0.03931023817029738,0.05090887679343464,384.6461529150728,7023.507321085106,395.3646218416848,430.7625307486498,1619.0547078749169,1763.9783158637574,0.08578289755695492,0.2970636154198599,0.653973894181161,0.022845032711468746,0.012856529231468742,0.03128312617146875,1.425555176,3.12505758,4.670032944,0.115372748769,0.17398037568100003,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.024756179482803287,0.03506692586902549,0.0640710253602792
ARG,2030,152,ssp4,1,31708088391.58657,704.3452755488098,118.90099628685653,168.33540042201452,329.3228780496168,248.82913923581563,253.37107851967664,415.6706468274636,0.00890565628298493,0.014610270158691102,32523.75431060197,85514.64754091749,1691802.2703507142,4511987.946498049,8190376.19192437,11725339.950035945,0.43898107728864855,45017819.37399996,0.00013012632483962267,0.0005411491161842718,0.006752661860346884,0.02756251192294217,0.05388586118605031,0.08724929749931405,224079.08065845567,8370675.956341576,966116.632487685,44051702.7415124,0.016098277605965137,0.05287961973797832,193.98439206150965,32329.76991854046,189.8840956509704,175.63178251947576,2581.4568782436904,663.1775424638823,0.015968711638645865,0.28943622001764624,0.565582169680147,0.020252740571468746,0.042690539051468746,-0.002380506948531258,1.2325251,4.039984368000001,1.381615388,0.070420026048,0.09262767741,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.012652569690885684,0.06945163284479139,-0.00843609163337633
ARG,2030,152,ssp5,1,36417275172.28982,822.9435100516007,133.20595286200006,192.74936166949416,395.78664366711286,294.2680026683035,300.8891733975125,506.3639387052759,0.01002367048402259,0.01686875339933869,15211.861380709715,60683.39224156106,1048995.5065270094,3394424.4785351525,5699424.058187628,8748067.28363209,0.43147191666594664,44252460.49999967,7.929672886862142e-05,0.00037806437271873115,0.004866878911342849,0.02047641211510023,0.04021403380125393,0.06533811027172129,202411.2274610493,7573777.645538931,941270.80376104,43311189.69623849,0.01639558131187038,0.05175184436682003,120.56239781051195,15091.298982899203,213.56287339517635,201.75770344132454,2879.818098633525,778.2419904025509,0.015968711638645865,0.28943622001764624,0.565582169680147,0.020252740571468746,0.042690539051468746,-0.002380506948531258,1.2325251,4.039984368000001,1.381615388,0.070420026048,0.09262767741,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.011899770433112966,0.07278846184744436,-0.009087466183780646
ARG,2030,153,ssp4,1,40190710353.03018,892.7733708985975,148.31671842270427,199.81882214421452,387.67481564044965,293.74681889233204,297.31974566357275,506.2697681120935,0.011768932617397762,0.020039889291035465,15632.30367889334,60365.144629695125,609432.5052473401,2769783.0485018627,5843473.822126412,9163265.811608173,0.4380157842989515,45017819.37400019,9.638364564841515e-05,0.0003354652193201267,0.003193175334851307,0.013662570534692307,0.03449794210535174,0.06100726780115188,472024.95024737774,8122730.086752563,2101242.272159919,42916577.1018403,0.04619921473202292,0.04692095340188414,298.21476206083264,15334.088916832508,193.83293053149507,209.31814678672706,742.32633336575,900.1394214164449,0.03656272975480074,0.18493690461549375,0.5626159889728601,-0.013285575108531258,-0.009402877368531258,0.010069340051468745,4.484210236000001,1.5782290799999998,2.541745188,0.178939809304,0.16577455933899998,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.01938153883821525,-0.011083830534199812,0.013930411337781612
ARG,2030,153,ssp5,1,52068542367.49316,1176.624797337385,197.65823174499997,278.03408723673516,570.52419436523,424.27914080098253,433.13241531571265,731.6345456595571,0.016835636882243613,0.028438263001514832,11657.893275543727,34965.0642256689,240618.627381703,1091013.1448687988,2611686.902882296,4594709.8277539965,0.40509262123734124,44252460.49999969,6.505933751811998e-05,0.00022865534970898746,0.0014087995952041556,0.00545310028261487,0.014422700448325809,0.02773159756597091,424500.915870732,7351687.9571292745,2042759.3825596739,42209701.117439955,0.05127278630716784,0.0499526863628567,181.9718463509259,11475.9214291928,271.4179781707933,292.2770985434149,827.603507702173,1193.5158554411066,0.03656272975480074,0.18493690461549375,0.5626159889728601,-0.013285575108531258,-0.009402877368531258,0.010069340051468745,4.484210236000001,1.5782290799999998,2.541745188,0.178939809304,0.16577455933899998,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.02631029310726052,-0.006122093853306754,0.018373120597976245
